rental_id,rental_info
8495,"{'car_id': 26, 'customer_id': 144, 'agency_id': 4}"
8496,"{'car_id': 28, 'customer_id': 92, 'agency_id': 1}"
8497,"{'car_id': 5, 'customer_id': 102, 'agency_id': 1}"
8498,"{'car_id': 5, 'customer_id': 132, 'agency_id': 1}"
8499,"{'car_id': 9, 'customer_id': 90, 'agency_id': 1}"
8500,"{'car_id': 12, 'customer_id': 43, 'agency_id': 4}"
8501,"{'car_id': 22, 'customer_id': 30, 'agency_id': 3}"
8502,"{'car_id': 29, 'customer_id': 27, 'agency_id': 3}"
8503,"{'car_id': 20, 'customer_id': 30, 'agency_id': 1}"
8504,"{'car_id': 2, 'customer_id': 22, 'agency_id': 1}"
8505,"{'car_id': 23, 'customer_id': 117, 'agency_id': 3}"
8506,"{'car_id': 12, 'customer_id': 4, 'agency_id': 2}"
8507,"{'car_id': 12, 'customer_id': 57, 'agency_id': 4}"
8508,"{'car_id': 20, 'customer_id': 40, 'agency_id': 1}"
8509,"{'car_id': 7, 'customer_id': 115, 'agency_id': 4}"
8510,"{'car_id': 8, 'customer_id': 85, 'agency_id': 1}"
8511,"{'car_id': 15, 'customer_id': 7, 'agency_id': 3}"
8512,"{'car_id': 29, 'customer_id': 7, 'agency_id': 2}"
8513,"{'car_id': 2, 'customer_id': 110, 'agency_id': 2}"
8514,"{'car_id': 28, 'customer_id': 106, 'agency_id': 1}"
8515,"{'car_id': 2, 'customer_id': 72, 'agency_id': 1}"
8516,"{'car_id': 9, 'customer_id': 107, 'agency_id': 2}"
8517,"{'car_id': 25, 'customer_id': 28, 'agency_id': 3}"
8518,"{'car_id': 10, 'customer_id': 147, 'agency_id': 2}"
8519,"{'car_id': 3, 'customer_id': 69, 'agency_id': 1}"
8520,"{'car_id': 17, 'customer_id': 49, 'agency_id': 1}"
8521,"{'car_id': 1, 'customer_id': 136, 'agency_id': 2}"
8522,"{'car_id': 7, 'customer_id': 137, 'agency_id': 4}"
8523,"{'car_id': 23, 'customer_id': 107, 'agency_id': 3}"
8524,"{'car_id': 12, 'customer_id': 37, 'agency_id': 4}"
8525,"{'car_id': 12, 'customer_id': 81, 'agency_id': 2}"
8526,"{'car_id': 2, 'customer_id': 105, 'agency_id': 3}"
8527,"{'car_id': 12, 'customer_id': 41, 'agency_id': 3}"
8528,"{'car_id': 26, 'customer_id': 108, 'agency_id': 2}"
8529,"{'car_id': 22, 'customer_id': 30, 'agency_id': 2}"
8530,"{'car_id': 21, 'customer_id': 69, 'agency_id': 1}"
8531,"{'car_id': 26, 'customer_id': 113, 'agency_id': 3}"
8532,"{'car_id': 29, 'customer_id': 151, 'agency_id': 4}"
8533,"{'car_id': 12, 'customer_id': 29, 'agency_id': 2}"
8534,"{'car_id': 29, 'customer_id': 137, 'agency_id': 3}"
8535,"{'car_id': 9, 'customer_id': 57, 'agency_id': 2}"
8536,"{'car_id': 4, 'customer_id': 69, 'agency_id': 1}"
8537,"{'car_id': 28, 'customer_id': 113, 'agency_id': 2}"
8538,"{'car_id': 9, 'customer_id': 140, 'agency_id': 2}"
8539,"{'car_id': 11, 'customer_id': 81, 'agency_id': 3}"
8540,"{'car_id': 2, 'customer_id': 99, 'agency_id': 2}"
8541,"{'car_id': 6, 'customer_id': 56, 'agency_id': 3}"
8542,"{'car_id': 17, 'customer_id': 122, 'agency_id': 3}"
8543,"{'car_id': 19, 'customer_id': 155, 'agency_id': 1}"
8544,"{'car_id': 3, 'customer_id': 13, 'agency_id': 2}"
8545,"{'car_id': 14, 'customer_id': 120, 'agency_id': 4}"
8546,"{'car_id': 27, 'customer_id': 146, 'agency_id': 3}"
8547,"{'car_id': 6, 'customer_id': 97, 'agency_id': 4}"
8548,"{'car_id': 17, 'customer_id': 137, 'agency_id': 3}"
8549,"{'car_id': 4, 'customer_id': 73, 'agency_id': 1}"
8550,"{'car_id': 22, 'customer_id': 19, 'agency_id': 2}"
8551,"{'car_id': 20, 'customer_id': 46, 'agency_id': 2}"
8552,"{'car_id': 16, 'customer_id': 112, 'agency_id': 1}"
8553,"{'car_id': 10, 'customer_id': 8, 'agency_id': 4}"
8554,"{'car_id': 29, 'customer_id': 99, 'agency_id': 1}"
8555,"{'car_id': 9, 'customer_id': 120, 'agency_id': 4}"
8556,"{'car_id': 14, 'customer_id': 96, 'agency_id': 2}"
8557,"{'car_id': 1, 'customer_id': 141, 'agency_id': 2}"
8558,"{'car_id': 21, 'customer_id': 98, 'agency_id': 1}"
8559,"{'car_id': 26, 'customer_id': 106, 'agency_id': 1}"
8560,"{'car_id': 3, 'customer_id': 48, 'agency_id': 3}"
8561,"{'car_id': 16, 'customer_id': 23, 'agency_id': 1}"
8562,"{'car_id': 1, 'customer_id': 64, 'agency_id': 1}"
8563,"{'car_id': 4, 'customer_id': 70, 'agency_id': 4}"
8564,"{'car_id': 24, 'customer_id': 100, 'agency_id': 3}"
8565,"{'car_id': 10, 'customer_id': 159, 'agency_id': 4}"
8566,"{'car_id': 14, 'customer_id': 126, 'agency_id': 1}"
8567,"{'car_id': 14, 'customer_id': 22, 'agency_id': 3}"
8568,"{'car_id': 15, 'customer_id': 11, 'agency_id': 2}"
8569,"{'car_id': 10, 'customer_id': 6, 'agency_id': 4}"
8570,"{'car_id': 3, 'customer_id': 47, 'agency_id': 4}"
8571,"{'car_id': 27, 'customer_id': 105, 'agency_id': 2}"
8572,"{'car_id': 17, 'customer_id': 77, 'agency_id': 2}"
8573,"{'car_id': 24, 'customer_id': 55, 'agency_id': 1}"
8574,"{'car_id': 1, 'customer_id': 108, 'agency_id': 3}"
8575,"{'car_id': 11, 'customer_id': 18, 'agency_id': 1}"
8576,"{'car_id': 5, 'customer_id': 92, 'agency_id': 3}"
8577,"{'car_id': 28, 'customer_id': 7, 'agency_id': 2}"
8578,"{'car_id': 22, 'customer_id': 136, 'agency_id': 4}"
8579,"{'car_id': 2, 'customer_id': 61, 'agency_id': 2}"
8580,"{'car_id': 22, 'customer_id': 133, 'agency_id': 2}"
8581,"{'car_id': 7, 'customer_id': 105, 'agency_id': 1}"
8582,"{'car_id': 21, 'customer_id': 127, 'agency_id': 3}"
8583,"{'car_id': 11, 'customer_id': 17, 'agency_id': 2}"
8584,"{'car_id': 24, 'customer_id': 131, 'agency_id': 1}"
8585,"{'car_id': 9, 'customer_id': 3, 'agency_id': 3}"
8586,"{'car_id': 17, 'customer_id': 97, 'agency_id': 3}"
8587,"{'car_id': 28, 'customer_id': 85, 'agency_id': 2}"
8588,"{'car_id': 8, 'customer_id': 44, 'agency_id': 2}"
8589,"{'car_id': 28, 'customer_id': 104, 'agency_id': 1}"
8590,"{'car_id': 5, 'customer_id': 138, 'agency_id': 2}"
8591,"{'car_id': 1, 'customer_id': 138, 'agency_id': 1}"
8592,"{'car_id': 22, 'customer_id': 22, 'agency_id': 1}"
8593,"{'car_id': 4, 'customer_id': 19, 'agency_id': 4}"
8594,"{'car_id': 7, 'customer_id': 25, 'agency_id': 4}"
8595,"{'car_id': 3, 'customer_id': 37, 'agency_id': 1}"
8596,"{'car_id': 19, 'customer_id': 53, 'agency_id': 2}"
8597,"{'car_id': 21, 'customer_id': 116, 'agency_id': 2}"
8598,"{'car_id': 27, 'customer_id': 109, 'agency_id': 4}"
8599,"{'car_id': 13, 'customer_id': 37, 'agency_id': 3}"
8600,"{'car_id': 17, 'customer_id': 48, 'agency_id': 2}"
8601,"{'car_id': 10, 'customer_id': 115, 'agency_id': 2}"
8602,"{'car_id': 13, 'customer_id': 104, 'agency_id': 2}"
8603,"{'car_id': 1, 'customer_id': 75, 'agency_id': 4}"
8604,"{'car_id': 11, 'customer_id': 143, 'agency_id': 2}"
8605,"{'car_id': 1, 'customer_id': 67, 'agency_id': 3}"
8606,"{'car_id': 22, 'customer_id': 36, 'agency_id': 3}"
8607,"{'car_id': 3, 'customer_id': 114, 'agency_id': 1}"
8608,"{'car_id': 28, 'customer_id': 68, 'agency_id': 1}"
8609,"{'car_id': 24, 'customer_id': 70, 'agency_id': 3}"
8610,"{'car_id': 23, 'customer_id': 16, 'agency_id': 2}"
8611,"{'car_id': 6, 'customer_id': 53, 'agency_id': 1}"
8612,"{'car_id': 13, 'customer_id': 116, 'agency_id': 1}"
8613,"{'car_id': 13, 'customer_id': 126, 'agency_id': 4}"
8614,"{'car_id': 25, 'customer_id': 5, 'agency_id': 1}"
8615,"{'car_id': 24, 'customer_id': 158, 'agency_id': 1}"
8616,"{'car_id': 5, 'customer_id': 82, 'agency_id': 4}"
8617,"{'car_id': 24, 'customer_id': 54, 'agency_id': 1}"
8618,"{'car_id': 22, 'customer_id': 4, 'agency_id': 2}"
8619,"{'car_id': 17, 'customer_id': 154, 'agency_id': 3}"
8620,"{'car_id': 1, 'customer_id': 71, 'agency_id': 2}"
8621,"{'car_id': 26, 'customer_id': 40, 'agency_id': 1}"
8622,"{'car_id': 12, 'customer_id': 61, 'agency_id': 3}"
8623,"{'car_id': 11, 'customer_id': 44, 'agency_id': 3}"
8624,"{'car_id': 3, 'customer_id': 50, 'agency_id': 4}"
8625,"{'car_id': 29, 'customer_id': 103, 'agency_id': 3}"
8626,"{'car_id': 12, 'customer_id': 79, 'agency_id': 2}"
8627,"{'car_id': 13, 'customer_id': 50, 'agency_id': 2}"
8628,"{'car_id': 29, 'customer_id': 8, 'agency_id': 2}"
8629,"{'car_id': 24, 'customer_id': 41, 'agency_id': 2}"
8630,"{'car_id': 16, 'customer_id': 150, 'agency_id': 1}"
8631,"{'car_id': 23, 'customer_id': 60, 'agency_id': 4}"
8632,"{'car_id': 25, 'customer_id': 85, 'agency_id': 1}"
8633,"{'car_id': 11, 'customer_id': 147, 'agency_id': 2}"
8634,"{'car_id': 2, 'customer_id': 74, 'agency_id': 4}"
8635,"{'car_id': 13, 'customer_id': 48, 'agency_id': 2}"
8636,"{'car_id': 14, 'customer_id': 158, 'agency_id': 2}"
8637,"{'car_id': 10, 'customer_id': 110, 'agency_id': 4}"
8638,"{'car_id': 14, 'customer_id': 46, 'agency_id': 2}"
8639,"{'car_id': 11, 'customer_id': 61, 'agency_id': 1}"
8640,"{'car_id': 11, 'customer_id': 140, 'agency_id': 4}"
8641,"{'car_id': 25, 'customer_id': 62, 'agency_id': 2}"
8642,"{'car_id': 25, 'customer_id': 102, 'agency_id': 3}"
8643,"{'car_id': 2, 'customer_id': 145, 'agency_id': 3}"
8644,"{'car_id': 5, 'customer_id': 145, 'agency_id': 1}"
8645,"{'car_id': 3, 'customer_id': 35, 'agency_id': 4}"
8646,"{'car_id': 29, 'customer_id': 70, 'agency_id': 3}"
8647,"{'car_id': 4, 'customer_id': 128, 'agency_id': 3}"
8648,"{'car_id': 7, 'customer_id': 89, 'agency_id': 1}"
8649,"{'car_id': 20, 'customer_id': 120, 'agency_id': 3}"
8650,"{'car_id': 29, 'customer_id': 126, 'agency_id': 4}"
8651,"{'car_id': 18, 'customer_id': 3, 'agency_id': 1}"
8652,"{'car_id': 17, 'customer_id': 72, 'agency_id': 3}"
8653,"{'car_id': 25, 'customer_id': 87, 'agency_id': 2}"
8654,"{'car_id': 12, 'customer_id': 74, 'agency_id': 3}"
8655,"{'car_id': 18, 'customer_id': 159, 'agency_id': 1}"
8656,"{'car_id': 15, 'customer_id': 118, 'agency_id': 4}"
8657,"{'car_id': 16, 'customer_id': 50, 'agency_id': 2}"
8658,"{'car_id': 1, 'customer_id': 114, 'agency_id': 4}"
8659,"{'car_id': 13, 'customer_id': 1, 'agency_id': 4}"
8660,"{'car_id': 10, 'customer_id': 114, 'agency_id': 4}"
8661,"{'car_id': 7, 'customer_id': 114, 'agency_id': 3}"
8662,"{'car_id': 28, 'customer_id': 43, 'agency_id': 4}"
8663,"{'car_id': 5, 'customer_id': 53, 'agency_id': 3}"
8664,"{'car_id': 16, 'customer_id': 153, 'agency_id': 3}"
8665,"{'car_id': 12, 'customer_id': 131, 'agency_id': 4}"
8666,"{'car_id': 20, 'customer_id': 111, 'agency_id': 1}"
8667,"{'car_id': 3, 'customer_id': 72, 'agency_id': 3}"
8668,"{'car_id': 29, 'customer_id': 5, 'agency_id': 4}"
8669,"{'car_id': 7, 'customer_id': 47, 'agency_id': 2}"
8670,"{'car_id': 14, 'customer_id': 24, 'agency_id': 4}"
8671,"{'car_id': 2, 'customer_id': 43, 'agency_id': 2}"
8672,"{'car_id': 1, 'customer_id': 85, 'agency_id': 2}"
8673,"{'car_id': 27, 'customer_id': 54, 'agency_id': 1}"
8674,"{'car_id': 4, 'customer_id': 147, 'agency_id': 4}"
8675,"{'car_id': 9, 'customer_id': 45, 'agency_id': 4}"
8676,"{'car_id': 23, 'customer_id': 146, 'agency_id': 4}"
8677,"{'car_id': 18, 'customer_id': 115, 'agency_id': 2}"
8678,"{'car_id': 12, 'customer_id': 113, 'agency_id': 2}"
8679,"{'car_id': 12, 'customer_id': 69, 'agency_id': 4}"
8680,"{'car_id': 8, 'customer_id': 2, 'agency_id': 1}"
8681,"{'car_id': 13, 'customer_id': 90, 'agency_id': 1}"
8682,"{'car_id': 21, 'customer_id': 123, 'agency_id': 1}"
