rental_id,rental_info
0,"{'car_id': 11, 'customer_id': 35, 'agency_id': 4}"
1,"{'car_id': 21, 'customer_id': 119, 'agency_id': 4}"
2,"{'car_id': 4, 'customer_id': 124, 'agency_id': 1}"
3,"{'car_id': 18, 'customer_id': 18, 'agency_id': 2}"
4,"{'car_id': 25, 'customer_id': 33, 'agency_id': 4}"
5,"{'car_id': 11, 'customer_id': 23, 'agency_id': 4}"
6,"{'car_id': 11, 'customer_id': 115, 'agency_id': 1}"
7,"{'car_id': 14, 'customer_id': 22, 'agency_id': 2}"
8,"{'car_id': 9, 'customer_id': 151, 'agency_id': 4}"
9,"{'car_id': 1, 'customer_id': 118, 'agency_id': 2}"
10,"{'car_id': 5, 'customer_id': 43, 'agency_id': 2}"
11,"{'car_id': 28, 'customer_id': 112, 'agency_id': 4}"
12,"{'car_id': 22, 'customer_id': 85, 'agency_id': 2}"
13,"{'car_id': 4, 'customer_id': 71, 'agency_id': 3}"
14,"{'car_id': 19, 'customer_id': 152, 'agency_id': 2}"
15,"{'car_id': 18, 'customer_id': 21, 'agency_id': 1}"
16,"{'car_id': 7, 'customer_id': 69, 'agency_id': 2}"
17,"{'car_id': 25, 'customer_id': 100, 'agency_id': 1}"
18,"{'car_id': 13, 'customer_id': 133, 'agency_id': 2}"
19,"{'car_id': 27, 'customer_id': 49, 'agency_id': 3}"
20,"{'car_id': 23, 'customer_id': 151, 'agency_id': 1}"
21,"{'car_id': 28, 'customer_id': 8, 'agency_id': 3}"
22,"{'car_id': 7, 'customer_id': 25, 'agency_id': 1}"
23,"{'car_id': 3, 'customer_id': 98, 'agency_id': 1}"
24,"{'car_id': 8, 'customer_id': 48, 'agency_id': 2}"
25,"{'car_id': 26, 'customer_id': 29, 'agency_id': 3}"
26,"{'car_id': 3, 'customer_id': 142, 'agency_id': 2}"
27,"{'car_id': 11, 'customer_id': 40, 'agency_id': 1}"
28,"{'car_id': 29, 'customer_id': 98, 'agency_id': 4}"
29,"{'car_id': 19, 'customer_id': 128, 'agency_id': 4}"
30,"{'car_id': 22, 'customer_id': 73, 'agency_id': 1}"
31,"{'car_id': 4, 'customer_id': 140, 'agency_id': 1}"
32,"{'car_id': 27, 'customer_id': 128, 'agency_id': 1}"
33,"{'car_id': 27, 'customer_id': 116, 'agency_id': 3}"
34,"{'car_id': 25, 'customer_id': 63, 'agency_id': 4}"
35,"{'car_id': 4, 'customer_id': 25, 'agency_id': 4}"
36,"{'car_id': 2, 'customer_id': 53, 'agency_id': 3}"
37,"{'car_id': 11, 'customer_id': 121, 'agency_id': 1}"
38,"{'car_id': 11, 'customer_id': 140, 'agency_id': 4}"
39,"{'car_id': 14, 'customer_id': 150, 'agency_id': 4}"
40,"{'car_id': 17, 'customer_id': 131, 'agency_id': 4}"
41,"{'car_id': 11, 'customer_id': 108, 'agency_id': 1}"
42,"{'car_id': 9, 'customer_id': 157, 'agency_id': 4}"
43,"{'car_id': 23, 'customer_id': 25, 'agency_id': 1}"
44,"{'car_id': 19, 'customer_id': 130, 'agency_id': 1}"
45,"{'car_id': 17, 'customer_id': 66, 'agency_id': 2}"
46,"{'car_id': 20, 'customer_id': 20, 'agency_id': 3}"
47,"{'car_id': 6, 'customer_id': 99, 'agency_id': 3}"
48,"{'car_id': 13, 'customer_id': 12, 'agency_id': 3}"
49,"{'car_id': 11, 'customer_id': 120, 'agency_id': 1}"
50,"{'car_id': 10, 'customer_id': 66, 'agency_id': 4}"
51,"{'car_id': 28, 'customer_id': 107, 'agency_id': 2}"
52,"{'car_id': 7, 'customer_id': 29, 'agency_id': 1}"
53,"{'car_id': 18, 'customer_id': 48, 'agency_id': 1}"
54,"{'car_id': 22, 'customer_id': 110, 'agency_id': 3}"
55,"{'car_id': 21, 'customer_id': 122, 'agency_id': 3}"
56,"{'car_id': 5, 'customer_id': 9, 'agency_id': 4}"
57,"{'car_id': 17, 'customer_id': 46, 'agency_id': 1}"
58,"{'car_id': 21, 'customer_id': 37, 'agency_id': 1}"
59,"{'car_id': 9, 'customer_id': 127, 'agency_id': 2}"
60,"{'car_id': 24, 'customer_id': 6, 'agency_id': 3}"
61,"{'car_id': 17, 'customer_id': 28, 'agency_id': 1}"
62,"{'car_id': 13, 'customer_id': 96, 'agency_id': 3}"
63,"{'car_id': 16, 'customer_id': 73, 'agency_id': 3}"
64,"{'car_id': 5, 'customer_id': 87, 'agency_id': 4}"
65,"{'car_id': 26, 'customer_id': 38, 'agency_id': 4}"
66,"{'car_id': 10, 'customer_id': 52, 'agency_id': 1}"
67,"{'car_id': 17, 'customer_id': 88, 'agency_id': 1}"
68,"{'car_id': 22, 'customer_id': 53, 'agency_id': 2}"
69,"{'car_id': 19, 'customer_id': 115, 'agency_id': 3}"
70,"{'car_id': 19, 'customer_id': 158, 'agency_id': 2}"
71,"{'car_id': 22, 'customer_id': 132, 'agency_id': 3}"
72,"{'car_id': 1, 'customer_id': 36, 'agency_id': 2}"
73,"{'car_id': 8, 'customer_id': 73, 'agency_id': 2}"
74,"{'car_id': 24, 'customer_id': 105, 'agency_id': 2}"
75,"{'car_id': 28, 'customer_id': 3, 'agency_id': 2}"
76,"{'car_id': 11, 'customer_id': 61, 'agency_id': 2}"
77,"{'car_id': 25, 'customer_id': 120, 'agency_id': 4}"
78,"{'car_id': 9, 'customer_id': 155, 'agency_id': 1}"
79,"{'car_id': 5, 'customer_id': 77, 'agency_id': 4}"
80,"{'car_id': 27, 'customer_id': 82, 'agency_id': 2}"
81,"{'car_id': 26, 'customer_id': 16, 'agency_id': 3}"
82,"{'car_id': 3, 'customer_id': 11, 'agency_id': 3}"
83,"{'car_id': 4, 'customer_id': 118, 'agency_id': 4}"
84,"{'car_id': 10, 'customer_id': 142, 'agency_id': 1}"
85,"{'car_id': 3, 'customer_id': 148, 'agency_id': 3}"
86,"{'car_id': 13, 'customer_id': 147, 'agency_id': 2}"
87,"{'car_id': 1, 'customer_id': 111, 'agency_id': 2}"
88,"{'car_id': 22, 'customer_id': 107, 'agency_id': 1}"
89,"{'car_id': 23, 'customer_id': 52, 'agency_id': 2}"
90,"{'car_id': 16, 'customer_id': 144, 'agency_id': 4}"
91,"{'car_id': 26, 'customer_id': 118, 'agency_id': 4}"
92,"{'car_id': 28, 'customer_id': 1, 'agency_id': 1}"
93,"{'car_id': 26, 'customer_id': 84, 'agency_id': 2}"
94,"{'car_id': 24, 'customer_id': 96, 'agency_id': 3}"
95,"{'car_id': 20, 'customer_id': 114, 'agency_id': 3}"
96,"{'car_id': 11, 'customer_id': 14, 'agency_id': 4}"
97,"{'car_id': 29, 'customer_id': 157, 'agency_id': 4}"
98,"{'car_id': 21, 'customer_id': 114, 'agency_id': 2}"
99,"{'car_id': 5, 'customer_id': 23, 'agency_id': 1}"
100,"{'car_id': 25, 'customer_id': 134, 'agency_id': 2}"
101,"{'car_id': 13, 'customer_id': 48, 'agency_id': 1}"
102,"{'car_id': 22, 'customer_id': 85, 'agency_id': 3}"
103,"{'car_id': 13, 'customer_id': 74, 'agency_id': 3}"
104,"{'car_id': 13, 'customer_id': 67, 'agency_id': 4}"
105,"{'car_id': 10, 'customer_id': 89, 'agency_id': 1}"
106,"{'car_id': 27, 'customer_id': 115, 'agency_id': 2}"
107,"{'car_id': 26, 'customer_id': 43, 'agency_id': 4}"
108,"{'car_id': 16, 'customer_id': 46, 'agency_id': 4}"
109,"{'car_id': 25, 'customer_id': 40, 'agency_id': 1}"
110,"{'car_id': 22, 'customer_id': 24, 'agency_id': 4}"
111,"{'car_id': 19, 'customer_id': 45, 'agency_id': 2}"
112,"{'car_id': 6, 'customer_id': 51, 'agency_id': 4}"
113,"{'car_id': 17, 'customer_id': 125, 'agency_id': 2}"
114,"{'car_id': 24, 'customer_id': 103, 'agency_id': 2}"
115,"{'car_id': 20, 'customer_id': 96, 'agency_id': 4}"
116,"{'car_id': 29, 'customer_id': 55, 'agency_id': 4}"
117,"{'car_id': 29, 'customer_id': 153, 'agency_id': 1}"
118,"{'car_id': 18, 'customer_id': 29, 'agency_id': 3}"
119,"{'car_id': 28, 'customer_id': 14, 'agency_id': 3}"
120,"{'car_id': 18, 'customer_id': 154, 'agency_id': 1}"
121,"{'car_id': 20, 'customer_id': 35, 'agency_id': 4}"
122,"{'car_id': 15, 'customer_id': 111, 'agency_id': 2}"
123,"{'car_id': 9, 'customer_id': 132, 'agency_id': 2}"
124,"{'car_id': 22, 'customer_id': 96, 'agency_id': 2}"
125,"{'car_id': 26, 'customer_id': 109, 'agency_id': 2}"
126,"{'car_id': 12, 'customer_id': 78, 'agency_id': 1}"
127,"{'car_id': 26, 'customer_id': 136, 'agency_id': 1}"
128,"{'car_id': 5, 'customer_id': 117, 'agency_id': 1}"
129,"{'car_id': 2, 'customer_id': 94, 'agency_id': 2}"
130,"{'car_id': 15, 'customer_id': 116, 'agency_id': 2}"
131,"{'car_id': 14, 'customer_id': 50, 'agency_id': 1}"
132,"{'car_id': 13, 'customer_id': 127, 'agency_id': 2}"
133,"{'car_id': 21, 'customer_id': 82, 'agency_id': 2}"
134,"{'car_id': 3, 'customer_id': 51, 'agency_id': 4}"
135,"{'car_id': 9, 'customer_id': 73, 'agency_id': 4}"
136,"{'car_id': 11, 'customer_id': 65, 'agency_id': 4}"
137,"{'car_id': 22, 'customer_id': 97, 'agency_id': 4}"
138,"{'car_id': 7, 'customer_id': 29, 'agency_id': 3}"
139,"{'car_id': 27, 'customer_id': 13, 'agency_id': 2}"
140,"{'car_id': 27, 'customer_id': 65, 'agency_id': 3}"
141,"{'car_id': 12, 'customer_id': 9, 'agency_id': 2}"
142,"{'car_id': 15, 'customer_id': 38, 'agency_id': 4}"
143,"{'car_id': 3, 'customer_id': 13, 'agency_id': 1}"
144,"{'car_id': 23, 'customer_id': 83, 'agency_id': 4}"
145,"{'car_id': 10, 'customer_id': 48, 'agency_id': 2}"
146,"{'car_id': 10, 'customer_id': 29, 'agency_id': 2}"
147,"{'car_id': 27, 'customer_id': 93, 'agency_id': 2}"
148,"{'car_id': 8, 'customer_id': 83, 'agency_id': 3}"
149,"{'car_id': 24, 'customer_id': 84, 'agency_id': 3}"
150,"{'car_id': 12, 'customer_id': 84, 'agency_id': 4}"
151,"{'car_id': 19, 'customer_id': 151, 'agency_id': 1}"
152,"{'car_id': 18, 'customer_id': 64, 'agency_id': 4}"
153,"{'car_id': 1, 'customer_id': 136, 'agency_id': 4}"
154,"{'car_id': 13, 'customer_id': 132, 'agency_id': 2}"
155,"{'car_id': 18, 'customer_id': 124, 'agency_id': 2}"
156,"{'car_id': 11, 'customer_id': 73, 'agency_id': 1}"
157,"{'car_id': 26, 'customer_id': 157, 'agency_id': 3}"
158,"{'car_id': 22, 'customer_id': 7, 'agency_id': 3}"
159,"{'car_id': 10, 'customer_id': 139, 'agency_id': 4}"
160,"{'car_id': 21, 'customer_id': 43, 'agency_id': 1}"
161,"{'car_id': 19, 'customer_id': 30, 'agency_id': 2}"
162,"{'car_id': 23, 'customer_id': 24, 'agency_id': 2}"
163,"{'car_id': 26, 'customer_id': 56, 'agency_id': 1}"
164,"{'car_id': 24, 'customer_id': 142, 'agency_id': 4}"
165,"{'car_id': 2, 'customer_id': 11, 'agency_id': 3}"
166,"{'car_id': 9, 'customer_id': 75, 'agency_id': 4}"
167,"{'car_id': 25, 'customer_id': 123, 'agency_id': 2}"
168,"{'car_id': 4, 'customer_id': 76, 'agency_id': 4}"
169,"{'car_id': 19, 'customer_id': 114, 'agency_id': 1}"
170,"{'car_id': 3, 'customer_id': 108, 'agency_id': 4}"
171,"{'car_id': 2, 'customer_id': 109, 'agency_id': 1}"
172,"{'car_id': 11, 'customer_id': 94, 'agency_id': 4}"
173,"{'car_id': 22, 'customer_id': 84, 'agency_id': 1}"
174,"{'car_id': 4, 'customer_id': 67, 'agency_id': 4}"
175,"{'car_id': 22, 'customer_id': 10, 'agency_id': 4}"
176,"{'car_id': 21, 'customer_id': 65, 'agency_id': 1}"
177,"{'car_id': 21, 'customer_id': 83, 'agency_id': 4}"
178,"{'car_id': 13, 'customer_id': 101, 'agency_id': 3}"
179,"{'car_id': 25, 'customer_id': 20, 'agency_id': 2}"
180,"{'car_id': 8, 'customer_id': 154, 'agency_id': 3}"
181,"{'car_id': 12, 'customer_id': 86, 'agency_id': 1}"
182,"{'car_id': 13, 'customer_id': 67, 'agency_id': 4}"
183,"{'car_id': 28, 'customer_id': 125, 'agency_id': 1}"
184,"{'car_id': 14, 'customer_id': 141, 'agency_id': 3}"
185,"{'car_id': 28, 'customer_id': 70, 'agency_id': 1}"
186,"{'car_id': 23, 'customer_id': 156, 'agency_id': 4}"
187,"{'car_id': 1, 'customer_id': 69, 'agency_id': 3}"
188,"{'car_id': 2, 'customer_id': 12, 'agency_id': 3}"
189,"{'car_id': 11, 'customer_id': 76, 'agency_id': 1}"
190,"{'car_id': 25, 'customer_id': 140, 'agency_id': 3}"
191,"{'car_id': 11, 'customer_id': 127, 'agency_id': 4}"
192,"{'car_id': 28, 'customer_id': 141, 'agency_id': 3}"
193,"{'car_id': 1, 'customer_id': 23, 'agency_id': 4}"
194,"{'car_id': 14, 'customer_id': 43, 'agency_id': 3}"
195,"{'car_id': 12, 'customer_id': 155, 'agency_id': 2}"
196,"{'car_id': 24, 'customer_id': 159, 'agency_id': 2}"
197,"{'car_id': 16, 'customer_id': 100, 'agency_id': 1}"
