rental_id,rental_info
2550,"{'car_id': 7, 'customer_id': 52, 'agency_id': 4}"
2551,"{'car_id': 10, 'customer_id': 113, 'agency_id': 2}"
2552,"{'car_id': 9, 'customer_id': 153, 'agency_id': 1}"
2553,"{'car_id': 16, 'customer_id': 155, 'agency_id': 2}"
2554,"{'car_id': 13, 'customer_id': 124, 'agency_id': 2}"
2555,"{'car_id': 14, 'customer_id': 20, 'agency_id': 3}"
2556,"{'car_id': 18, 'customer_id': 139, 'agency_id': 2}"
2557,"{'car_id': 21, 'customer_id': 145, 'agency_id': 4}"
2558,"{'car_id': 14, 'customer_id': 65, 'agency_id': 2}"
2559,"{'car_id': 14, 'customer_id': 71, 'agency_id': 2}"
2560,"{'car_id': 3, 'customer_id': 16, 'agency_id': 2}"
2561,"{'car_id': 23, 'customer_id': 37, 'agency_id': 4}"
2562,"{'car_id': 15, 'customer_id': 6, 'agency_id': 3}"
2563,"{'car_id': 3, 'customer_id': 118, 'agency_id': 3}"
2564,"{'car_id': 16, 'customer_id': 71, 'agency_id': 3}"
2565,"{'car_id': 25, 'customer_id': 25, 'agency_id': 2}"
2566,"{'car_id': 10, 'customer_id': 144, 'agency_id': 1}"
2567,"{'car_id': 29, 'customer_id': 55, 'agency_id': 1}"
2568,"{'car_id': 12, 'customer_id': 102, 'agency_id': 1}"
2569,"{'car_id': 5, 'customer_id': 20, 'agency_id': 1}"
2570,"{'car_id': 1, 'customer_id': 48, 'agency_id': 3}"
2571,"{'car_id': 6, 'customer_id': 50, 'agency_id': 4}"
2572,"{'car_id': 23, 'customer_id': 116, 'agency_id': 4}"
2573,"{'car_id': 13, 'customer_id': 103, 'agency_id': 2}"
2574,"{'car_id': 11, 'customer_id': 141, 'agency_id': 1}"
2575,"{'car_id': 12, 'customer_id': 31, 'agency_id': 1}"
2576,"{'car_id': 2, 'customer_id': 153, 'agency_id': 1}"
2577,"{'car_id': 24, 'customer_id': 54, 'agency_id': 4}"
2578,"{'car_id': 5, 'customer_id': 13, 'agency_id': 3}"
2579,"{'car_id': 9, 'customer_id': 66, 'agency_id': 1}"
2580,"{'car_id': 15, 'customer_id': 59, 'agency_id': 1}"
2581,"{'car_id': 14, 'customer_id': 149, 'agency_id': 1}"
2582,"{'car_id': 12, 'customer_id': 39, 'agency_id': 2}"
2583,"{'car_id': 13, 'customer_id': 31, 'agency_id': 3}"
2584,"{'car_id': 25, 'customer_id': 158, 'agency_id': 1}"
2585,"{'car_id': 7, 'customer_id': 108, 'agency_id': 2}"
2586,"{'car_id': 12, 'customer_id': 121, 'agency_id': 1}"
2587,"{'car_id': 18, 'customer_id': 62, 'agency_id': 2}"
2588,"{'car_id': 27, 'customer_id': 33, 'agency_id': 1}"
2589,"{'car_id': 13, 'customer_id': 121, 'agency_id': 4}"
2590,"{'car_id': 21, 'customer_id': 114, 'agency_id': 4}"
2591,"{'car_id': 19, 'customer_id': 134, 'agency_id': 3}"
2592,"{'car_id': 13, 'customer_id': 81, 'agency_id': 4}"
2593,"{'car_id': 5, 'customer_id': 76, 'agency_id': 1}"
2594,"{'car_id': 4, 'customer_id': 11, 'agency_id': 2}"
2595,"{'car_id': 4, 'customer_id': 128, 'agency_id': 1}"
2596,"{'car_id': 24, 'customer_id': 22, 'agency_id': 3}"
2597,"{'car_id': 19, 'customer_id': 118, 'agency_id': 2}"
