event_id,user_id,content_id,watch_timestamp,device,watch_time_minutes,completion_percentage,is_finished,region
f485d2da-4b43-4c86-82af-c889b63baeca,U0000018,C0000050,2026-07-18 11:42:47,Wii,138,24.25,False,Costa Rica
93534524-7130-42dc-8baa-e12300113230,U0000054,C0000084,2024-07-21 15:39:26,desktop,40,74.48,False,USA
8851aae8-0deb-4535-9eea-3de197ef8f87,U0000057,C0000057,2025-04-28 11:06:43,frige,56,69.34,False,Nicaragua
f2bb4550-28e8-4f50-835a-70d469061ace,U0000046,C0000008,2026-03-26 08:12:07,nintendo 3ds,166,90.27,True,Canada
848944e4-1630-46c1-a4c0-a4db699cc133,U0000082,C0000077,2024-02-13 01:50:21,laptop,165,66.61,False,Argentina
6b162683-e129-45b0-8b08-af292a481147,U0000009,C0000098,2027-02-09 06:37:13,laptop,53,78.91,False,Ecuador
f394a3c0-06aa-46d7-bbc4-bd47e9835abc,U0000077,C0000001,2025-07-21 04:08:34,desktop,202,77.66,False,Brazil
d66c4804-977b-4471-90b1-282b5f0fd10c,U0000004,C0000017,2024-01-31 11:50:50,laptop,222,11.88,False,Costa Rica
81413e73-4639-418d-a049-4cf78f09f697,U0000034,C0000007,2024-09-16 23:26:33,smart_tv,45,33.05,False,Canada
9420bf39-55c3-4f08-9560-178c5234abb8,U0000047,C0000066,2027-04-30 03:28:32,laptop,200,48.15,False,Panama
36a7cc72-e59c-4bd3-9545-be0bee028b4f,U0000085,C0000067,2025-09-09 14:41:01,mobile,201,5.29,False,Paraguay
26a4b5a1-753b-4c17-8ce6-0d603dc3ba1e,U0000088,C0000014,2026-10-01 22:58:28,smart_tv,110,84.88,False,Canada
0151b875-e622-4dd2-b757-061c543e8e11,U0000009,C0000017,2025-07-17 19:40:37,frige,38,32.89,False,Cuba
7fa76ad3-0a91-441b-9bfa-bdd68d2ec39b,U0000038,C0000059,2026-11-01 19:27:06,smart_tv,136,99.47,True,Nicaragua
2962f2eb-9bc0-470f-891b-a0f08a8fe6a2,U0000056,C0000058,2028-12-23 07:26:21,nintendo 3ds,56,72.36,False,Cuba
b7b01ab6-dd3c-41bc-84f5-76c65f50aa66,U0000041,C0000055,2025-10-02 21:16:23,tablet,25,42.18,False,Paraguay
e5d5f0b6-57df-4c44-b3d4-879bd44db519,U0000011,C0000012,2026-06-03 03:47:47,frige,213,7.65,False,Argentina
81a96afe-c1a2-4b41-a426-98061caa07b1,U0000072,C0000072,2025-11-06 21:07:26,frige,151,56.08,False,Bolivia
6bfad550-ec3d-40c1-86f8-ceb873fa051f,U0000007,C0000037,2027-05-14 09:22:06,laptop,185,86.94,False,Argentina
708bd779-09b2-473b-88ec-b7dba99cbc58,U0000014,C0000045,2028-09-27 17:23:07,desktop,58,66.02,False,Costa Rica
3d3660ee-fb3a-4761-af0e-dab99dd3e430,U0000072,C0000099,2028-08-03 19:39:43,mobile,110,23.39,False,Panama
914ad2cd-a476-4537-9f88-314a899df567,U0000089,C0000035,2024-02-29 05:17:44,desktop,213,92.98,True,Ecuador
1d45076d-13be-418c-a3d5-8ad2e0094721,U0000019,C0000073,2027-09-08 12:04:09,mobile,47,35.75,False,Canada
1dbcf4ee-b711-4de2-9281-09ea30b92144,U0000049,C0000054,2026-07-18 10:10:23,desktop,56,74.87,False,Ecuador
c5af49d5-06d8-4fc3-9d94-988934e159fc,U0000077,C0000011,2028-12-14 01:09:10,mobile,146,77.91,False,Canada
13afc6d5-d235-4b9c-a537-98a80912abcc,U0000055,C0000063,2027-05-28 14:26:17,laptop,170,27.94,False,El Salvador
904d9678-113f-42d2-9f77-11a29a957e10,U0000015,C0000037,2027-10-20 21:37:31,desktop,111,12.27,False,USA
24836034-3f04-4307-bb98-1bb65eaa22cd,U0000008,C0000001,2025-02-22 09:13:49,tablet,154,22.83,False,Peru
de622b9a-6336-45a9-8e8b-3c488417483a,U0000001,C0000064,2028-03-09 13:11:08,Wii,31,29.66,False,Nicaragua
ba0190d5-724a-4b0b-8595-893094a37e46,U0000072,C0000086,2028-07-09 11:04:25,mobile,129,70.66,False,Bolivia
3be0dff6-e70a-4a50-9210-f475173b1af6,U0000010,C0000041,2027-03-25 13:36:25,Wii,236,2.86,False,Venezuela
78aa174c-8bf1-4e6f-9314-254b17d6919e,U0000042,C0000022,2028-06-29 19:29:53,frige,6,12.4,False,Canada
b50beffb-73c4-4d07-be16-6ba1bae64da0,U0000032,C0000056,2027-04-21 12:33:05,Wii,28,44.23,False,Venezuela
e6cfee14-a48c-4550-a9e5-8a79f034ed58,U0000043,C0000100,2024-12-10 02:32:40,smart_tv,57,74.83,False,El Salvador
5c81ad2b-f6fc-4d47-b11f-4276e1790b71,U0000100,C0000045,2025-12-20 23:52:41,tablet,232,51.49,False,Chile
06d59628-66ea-43fa-a9c9-366ed8d47f23,U0000026,C0000023,2027-05-18 04:48:48,smart_tv,66,11.18,False,Brazil
4c5273ca-07c8-47c6-b646-daad05cf7a01,U0000064,C0000060,2028-03-25 18:48:37,nintendo 3ds,161,95.18,True,Costa Rica
b92880d2-54a8-4dcf-bc8f-7d50f719e5cc,U0000042,C0000081,2025-10-09 04:28:04,nintendo 3ds,160,64.66,False,Honduras
57a52d59-353a-47cf-b41e-bf2acc1ff5f1,U0000036,C0000076,2024-04-25 11:32:04,desktop,204,63.51,False,Honduras
